DataSeriesID,SI_Mass,LnMass,Locomotor Trait,TraitValue,TempTraitValue,Temperature,TempKelvin,1/kT,TempType,Environment,TaxaID,Kingdom,Phylum,Class,Order,Family,Genus,Species,CommonName,Thermy,TrophicGroup
2855,1.14E-07,-15.9870673885519,Routine Speed,0.000114,7.29459287995323E-05,20,293.15,39.5871292029482,Ambient,Water,Alexandrium ostenfeldii,Protista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,ostenfeldii,Dinoflagellate,ectotherm,producer
2856,2.67E-07,-15.1360171785462,Routine Speed,0.00012,7.6785188210034E-05,20,293.15,39.5871292029482,Ambient,Water,Alexandrium tamarense,Protista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,tamarense,Dinoflagellate,ectotherm,producer
2857,1.229E-12,-27.4248202853447,Routine Speed,0.000134,2.45044356866444E-05,35,308.15,37.6601230759184,Ambient,Water,Vibrio alginolyticus,Bacteria,Proteobacteria,Gamma Proteobacteria,Vibrionales,Vibrionaceae,Vibrio,alginolyticus,Proteobacteria,ectotherm,carnivore
2858,3E-13,-28.8349939202545,Routine Speed,5.3E-05,8.27682287752903E-06,37,310.15,37.4172720485064,Ambient,Water,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis,Hay bacillus,ectotherm,detritivore
2859,2.6E-13,-28.9780947638952,Routine Speed,6E-07,3.51769141877086E-07,21,294.15,39.4525477676161,Ambient,Water,Flavobacterium columnare,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,columnare,Bacteria,ectotherm,carnivore
2861,2.6E-13,-28.9780947638952,Maximum Speed,8E-07,4.69025522502781E-07,21,294.15,39.4525477676161,Ambient,Water,Flavobacterium columnare,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,columnare,Bacteria,ectotherm,carnivore
2862,2.4E-13,-29.0581374715687,Routine Speed,6.7E-06,3.92808875096079E-06,21,294.15,39.4525477676161,Ambient,Water,Pseudomonas putida,Bacteria,Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudoalteromonadaceae,Pseudomonas,putida,Proteobacteria,ectotherm,detritivore
2863,2.4E-13,-29.0581374715687,Maximum Speed,4.05E-05,2.37444170767033E-05,21,294.15,39.4525477676161,Ambient,Water,Pseudomonas putida,Bacteria,Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudoalteromonadaceae,Pseudomonas,putida,Proteobacteria,ectotherm,detritivore
2864,2.5E-13,-29.0173154770484,Routine Speed,1.71E-05,1.00254205434969E-05,21,294.15,39.4525477676161,Ambient,Water,Pseudomonas pavonaceae,Bacteria,Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Moraxellaceae,Pseudomonas,pavonaceae,Proteobacteria,ectotherm,carnivore
2865,2.5E-13,-29.0173154770484,Maximum Speed,7.22E-05,4.2329553405876E-05,21,294.15,39.4525477676161,Ambient,Water,Pseudomonas pavonaceae,Bacteria,Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Moraxellaceae,Pseudomonas,pavonaceae,Proteobacteria,ectotherm,carnivore
2866,2.6E-13,-28.9780947638952,Routine Speed,2.87E-05,1.68262906197873E-05,21,294.15,39.4525477676161,Ambient,Water,Pseudomonas rhodesiae,Bacteria,Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudoalteromonadaceae,Pseudomonas,rhodesiae,Bacteria,ectotherm,detritivore
2867,2.6E-13,-28.9780947638952,Maximum Speed,8.27E-05,4.8485513388725E-05,21,294.15,39.4525477676161,Ambient,Water,Pseudomonas rhodesiae,Bacteria,Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudoalteromonadaceae,Pseudomonas,rhodesiae,Bacteria,ectotherm,detritivore
2868,2.4E-13,-29.0581374715687,Routine Speed,4.39E-05,2.57377755473401E-05,21,294.15,39.4525477676161,Ambient,Water,Pseudomonas aeruginosa,Bacteria,Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,aeruginosa,Proteobacteria,ectotherm,carnivore
2869,2.4E-13,-29.0581374715687,Maximum Speed,0.0001449,8.49522477633163E-05,21,294.15,39.4525477676161,Ambient,Water,Pseudomonas aeruginosa,Bacteria,Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,aeruginosa,Proteobacteria,ectotherm,carnivore
